sample_name,expt_sand_number,test_type,water_content,coarse_name,coarse_size,max_particle_size,coarse_pct,clay_name,mix_date,test_date,clay_only_water_content,predicted_water_content,linear_law_deviation,upper_mm,lower_mm,d50
1,1,AL,0.09926477692251275,Mancino_angular,2.0-1.0,2,0.6,Fireborn_Porcelain,2020-03-21,2020-03-22,0.24534271995741716,0.09813708798296687,0.0011276889395458733,2.0,1.0,1.4
1,1,LL,0.1792271138165474,Mancino_angular,2.0-1.0,2,0.6,Fireborn_Porcelain,2020-03-21,2020-03-22,0.42925823965347765,0.17170329586139108,0.007523817955156331,2.0,1.0,1.4
1,1,PL,0.08245957428260635,Mancino_angular,2.0-1.0,2,0.6,Fireborn_Porcelain,2020-03-21,2020-03-22,0.17387663649580326,0.06955065459832131,0.012908919684285036,2.0,1.0,1.4
2,2,AL,0.11180935104358913,Mancino_angular,1.0-0.5,1,0.6,Fireborn_Porcelain,2020-03-21,2020-03-22,0.24534271995741716,0.09813708798296687,0.013672263060622261,1.0,0.5,0.72
2,2,LL,0.1853204385938643,Mancino_angular,1.0-0.5,1,0.6,Fireborn_Porcelain,2020-03-21,2020-03-22,0.42925823965347765,0.17170329586139108,0.01361714273247322,1.0,0.5,0.72
2,2,PL,0.08913503579113173,Mancino_angular,1.0-0.5,1,0.6,Fireborn_Porcelain,2020-03-21,2020-03-22,0.17387663649580326,0.06955065459832131,0.01958438119281042,1.0,0.5,0.72
3,3,AL,0.12951589213553671,Mancino_angular,0.5-0.25,0.5,0.6,Fireborn_Porcelain,2020-03-21,2020-03-22,0.24534271995741716,0.09813708798296687,0.03137880415256984,0.5,0.25,0.363
3,3,LL,0.19369539054157345,Mancino_angular,0.5-0.25,0.5,0.6,Fireborn_Porcelain,2020-03-21,2020-03-22,0.42925823965347765,0.17170329586139108,0.021992094680182372,0.5,0.25,0.363
3,3,PL,0.09476106988277423,Mancino_angular,0.5-0.25,0.5,0.6,Fireborn_Porcelain,2020-03-21,2020-03-22,0.17387663649580326,0.06955065459832131,0.02521041528445292,0.5,0.25,0.363
4,4,AL,0.14412069629881138,Mancino_angular,0.25-0.15,0.25,0.6,Fireborn_Porcelain,2020-03-21,2020-03-22,0.24534271995741716,0.09813708798296687,0.04598360831584451,0.25,0.15,0.186
4,4,LL,0.20488225784571237,Mancino_angular,0.25-0.15,0.25,0.6,Fireborn_Porcelain,2020-03-21,2020-03-22,0.42925823965347765,0.17170329586139108,0.0331789619843213,0.25,0.15,0.186
4,4,PL,0.10444653022559197,Mancino_angular,0.25-0.15,0.25,0.6,Fireborn_Porcelain,2020-03-21,2020-03-22,0.17387663649580326,0.06955065459832131,0.03489587562727066,0.25,0.15,0.186
5,5,AL,0.165827692326778,Mancino_angular,0.15-0.05,0.15,0.6,Fireborn_Porcelain,2020-04-08,2020-04-10,0.24534271995741716,0.09813708798296687,0.06769060434381112,0.15,0.05,0.09
